date,AAPL,AMT,BA,BAC,CAT,CSCO,CVX,DIS,DUK,GE,GOOGL,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEE,NKE,PFE,PG,T,UNH,VZ,WFC,WMT,XOM
2013-03-11,62.5528,76.9,82.94,12.15,91.18,21.88,118.73,57.66,69.79,23.62,417.8274,153.3,71.32,21.69,78.44,50.48,39.31,98.89,105.81,27.87,74.18,27.265,28.25,77.35,36.6,54.21,47.81,37.13,72.98,89.16
2013-03-12,61.2042,76.03,84.16,12.01,89.74,21.7,118.25,57.11,69.54,23.41,414.2188,151.85,70.75,21.64,78.56,50.28,38.96,98.76,105.13,27.91,73.1,26.745,27.94,77.17,36.72,54.83,48.36,36.66,73.6,89.16
2013-03-13,61.1928,76.12,84.75,12.06,89.28,21.575,118.36,57.34,69.91,23.49,413.0677,151.91,70.76,21.655,78.55,50.16,38.59,99.38,105.09,27.915,73.75,27.425,28.02,76.8,36.6,54.48,47.94,36.77,73.65,89.26
2013-03-14,61.7857,76.41,84.62,12.11,88.7,21.59,120.0,57.75,69.93,23.69,411.1808,154.02,70.24,21.65,79.1,51.0,39.02,99.31,106.02,28.135,74.01,27.345,28.11,77.39,36.86,54.73,48.48,36.97,73.22,89.83
2013-03-15,63.3799,75.56,86.43,12.57,88.83,21.925,119.68,57.58,69.95,23.44,407.5582,154.84,69.05,21.375,79.19,50.02,38.83,99.67,106.4,28.035,74.47,27.39,28.02,76.34,36.43,54.73,48.02,38.2,72.5,89.37
2013-03-18,65.1028,75.05,85.18,12.56,89.36,21.67,119.13,56.83,69.62,23.25,404.2989,151.95,69.35,21.26,78.81,49.51,38.76,98.57,105.41,28.1,74.12,27.08,28.04,76.16,36.15,55.0,48.75,37.76,72.25,88.77
2013-03-19,64.9271,74.53,85.51,12.71,88.27,21.52,119.46,56.31,69.91,23.32,406.0657,148.84,68.79,21.14,78.86,49.2,39.33,98.4,105.18,28.18,75.12,26.915,27.99,77.11,36.14,55.17,48.95,37.49,72.45,88.58
2013-03-20,64.5828,75.32,85.37,12.78,86.94,21.67,120.35,56.94,70.4,23.46,407.7614,150.13,68.88,21.18,79.45,49.12,39.87,98.77,105.66,28.315,75.7,27.415,28.29,77.58,36.19,54.88,48.6,37.44,72.99,88.63
2013-03-21,64.6756,76.29,84.33,12.57,86.83,20.84,120.34,56.31,70.26,23.29,406.0356,145.38,68.95,21.04,79.01,48.35,40.07,98.53,104.94,28.11,75.59,26.8,28.11,77.21,36.15,55.06,48.8,37.14,73.13,88.17
2013-03-22,65.9871,76.73,84.82,12.56,87.48,20.75,121.18,56.78,70.61,23.37,405.5602,146.6,69.56,21.33,79.74,48.78,40.04,99.27,106.42,28.25,76.17,29.765,28.38,77.27,36.43,54.46,49.02,37.2,74.28,89.29
2013-03-25,66.2256,76.26,84.85,12.4,86.64,20.85,120.18,56.21,70.28,23.24,405.2248,146.11,69.47,21.15,79.68,48.52,40.12,98.24,105.17,28.16,76.18,29.78,28.16,76.68,36.39,54.86,49.16,37.21,74.85,89.02
2013-03-26,65.8765,75.89,86.62,12.28,87.0,20.845,120.98,56.63,70.95,23.12,406.6162,146.54,70.05,21.765,80.85,48.64,40.69,98.5,106.07,28.155,77.17,29.735,28.6,77.4,36.74,55.65,49.48,37.3,74.77,90.13
2013-03-27,64.5828,76.86,86.2,12.23,86.9,20.83,120.19,56.47,71.72,23.1,401.7313,147.84,69.65,21.83,81.27,47.77,40.22,98.9,105.29,28.37,76.88,29.225,28.64,77.06,36.62,56.62,48.94,36.98,74.78,90.58
2013-03-28,63.2371,76.92,85.85,12.18,86.97,20.895,118.82,56.8,72.59,23.12,397.4911,147.15,69.78,21.835,81.53,47.46,40.44,99.69,106.31,28.605,77.68,29.505,28.86,77.06,36.69,57.21,49.15,36.99,74.83,90.11
2013-04-01,61.2728,77.75,85.25,12.15,85.64,20.83,119.61,56.69,72.32,23.08,400.9956,146.04,69.67,21.43,81.93,47.83,40.45,99.05,105.65,28.61,77.48,29.13,28.84,77.7,37.25,58.97,49.22,36.93,75.43,90.77
2013-04-02,61.3988,78.73,84.09,12.15,84.88,21.22,119.0,57.46,72.62,23.34,406.9265,146.68,71.02,21.455,82.69,48.28,40.72,100.26,106.52,28.8,78.16,29.45,29.23,78.96,37.57,61.74,49.5,36.88,76.02,90.58
2013-04-03,61.7128,78.02,84.36,11.81,84.12,21.197,117.78,57.25,71.71,23.0,403.5041,143.41,70.36,21.05,82.07,46.85,40.17,99.25,105.68,28.56,78.32,29.455,29.03,78.12,37.28,61.67,48.99,36.67,76.0,89.93
2013-04-04,61.1028,78.58,84.95,11.94,84.63,21.04,118.07,57.59,71.79,23.08,397.9325,142.99,70.69,21.135,82.41,47.49,40.54,100.63,105.82,28.595,79.23,29.67,29.16,78.54,37.91,62.03,49.3,37.42,76.2,89.77
2013-04-05,60.4571,77.82,86.17,11.97,84.6,20.61,117.52,57.7,72.05,22.93,391.9165,143.69,70.06,20.94,82.04,47.91,40.08,101.42,105.78,28.7,79.54,29.485,29.1,78.23,38.02,62.1,49.56,37.15,76.39,89.01
2013-04-08,60.8871,79.0,86.75,12.21,84.19,20.57,117.81,58.82,73.01,23.12,387.8124,143.82,71.22,21.09,81.11,48.58,40.86,101.5,105.75,28.59,79.94,29.975,29.16,78.79,37.62,61.89,49.43,37.02,77.29,88.6
2013-04-09,60.9971,79.29,87.21,12.25,85.9,20.97,118.64,59.14,72.62,23.06,389.2138,146.52,71.2,21.75,81.52,48.68,40.71,101.06,105.95,29.61,79.19,29.945,29.11,78.26,37.76,62.18,49.36,37.45,78.12,88.77
2013-04-10,62.2414,79.87,87.82,12.32,86.57,21.47,119.64,60.11,72.79,23.58,395.4851,149.46,71.69,22.26,82.02,49.25,41.07,101.49,107.69,30.28,79.86,30.145,29.92,79.24,38.18,62.41,49.86,37.57,77.37,88.68
2013-04-11,62.0471,80.32,88.53,12.27,85.7,21.685,120.95,60.55,73.17,23.59,395.5902,149.07,71.9,21.825,82.32,49.31,41.18,101.99,108.25,28.935,79.84,30.6,30.64,79.67,38.54,62.98,50.51,37.51,77.79,89.22
2013-04-12,61.3999,80.67,88.89,12.17,85.05,21.54,119.94,60.55,72.97,23.46,395.42,149.12,73.62,21.675,82.74,49.01,41.08,103.59,107.68,28.79,79.49,30.29,30.67,80.08,38.59,63.03,50.86,37.21,78.56,88.99
2013-04-15,59.9785,79.43,86.77,11.98,82.27,21.05,116.57,58.88,72.29,22.81,391.356,146.46,72.23,21.38,81.71,47.93,40.09,102.15,105.76,28.69,78.95,29.835,30.45,79.65,37.95,61.59,50.64,36.57,78.47,86.49
2013-04-16,60.8914,80.59,86.89,12.28,82.61,21.16,117.01,60.75,73.57,23.1,397.0817,144.1,72.46,21.915,83.44,48.49,42.37,103.04,106.15,28.97,79.71,30.25,30.94,80.1,37.94,62.81,50.46,37.06,78.68,86.61
2013-04-17,57.5428,79.78,86.69,11.7,81.47,20.63,114.81,60.68,73.15,22.76,391.6713,140.6,72.8,21.93,83.9,46.79,42.55,102.54,105.48,28.825,79.02,30.45,30.87,79.06,37.78,62.03,49.54,36.56,78.51,86.08
2013-04-18,56.0071,80.06,86.12,11.44,80.46,20.58,115.59,59.99,73.24,22.67,383.34,138.6,72.48,22.24,83.18,46.64,42.1,101.91,104.98,28.79,78.85,30.09,30.59,79.87,37.74,59.69,50.91,36.27,77.16,86.62
2013-04-19,55.7899,81.05,87.96,11.66,80.43,20.46,115.9,61.56,74.34,21.75,400.3349,138.72,74.0,22.44,84.49,47.23,42.66,99.92,105.71,29.765,80.08,30.46,31.06,81.43,38.28,60.04,52.25,36.69,78.29,87.45
2013-04-22,56.9528,81.02,86.94,11.72,82.71,20.59,116.57,62.01,74.28,21.35,400.4571,139.52,73.86,22.88,84.83,47.35,42.72,99.32,105.8,30.83,79.91,30.68,30.93,81.4,38.73,59.22,52.19,36.73,77.97,88.09
2013-04-23,58.0185,81.9,88.18,12.07,84.1,20.91,117.48,62.59,74.41,21.5,404.3539,142.94,73.38,23.375,85.45,48.17,42.7,99.76,107.39,30.6,80.11,30.84,31.08,82.54,39.0,58.54,52.32,37.13,79.09,89.3
2013-04-24,57.9231,81.0,90.83,12.31,83.78,20.39,118.28,61.94,74.72,21.96,407.1337,143.93,73.28,23.66,84.39,48.72,42.15,101.02,107.87,31.76,80.56,30.765,30.6,77.12,37.04,58.79,51.8,37.34,78.03,89.43
2013-04-25,58.3399,83.84,91.67,12.44,84.51,20.64,118.51,62.0,75.14,21.95,404.9545,144.76,73.37,23.38,85.22,49.0,42.35,100.94,104.88,31.94,80.44,31.035,30.26,76.58,37.28,59.34,53.22,37.64,78.65,88.07
2013-04-26,59.6007,82.97,92.85,12.42,84.68,20.67,120.04,61.87,74.86,22.21,401.1107,144.11,73.35,23.4,85.12,48.88,42.1,100.89,103.79,31.79,80.54,30.945,30.09,77.1,37.04,59.48,53.63,37.88,79.04,88.0
2013-04-29,61.4457,83.04,91.9,12.38,84.8,20.98,121.32,63.0,75.2,22.27,409.9395,145.11,73.67,23.76,85.58,48.92,42.24,102.18,103.83,32.61,81.26,31.315,30.43,77.68,37.3,60.01,53.46,37.88,78.39,88.21
2013-04-30,63.2542,83.99,91.41,12.31,84.67,20.92,122.01,62.84,75.2,22.29,412.6973,146.07,73.35,23.95,85.23,49.01,42.33,102.14,104.71,33.1,82.03,31.8,29.07,76.77,37.46,59.93,53.91,37.98,77.72,88.99
2013-05-01,62.7557,83.93,91.18,12.14,83.08,20.38,120.27,63.21,74.89,22.15,410.6252,142.61,72.76,23.99,84.23,48.01,42.21,101.38,104.55,32.72,81.33,31.68,28.9,76.99,37.56,59.72,52.4,37.46,78.06,87.51
2013-05-02,63.6457,83.85,92.21,12.19,84.26,20.73,122.04,63.88,74.78,22.32,415.2198,143.67,73.33,24.11,85.16,48.08,41.96,102.06,106.04,33.16,81.73,31.66,29.27,77.76,37.56,59.48,52.53,37.41,78.46,88.63
2013-05-03,64.2828,83.56,93.74,12.24,86.98,20.83,123.49,64.8,74.47,22.57,423.2829,145.37,73.96,23.96,85.75,47.57,42.24,102.92,107.83,33.49,81.75,32.275,28.96,78.19,37.34,58.92,52.68,37.74,79.25,90.02
2013-05-06,65.8156,83.08,94.19,12.88,87.59,20.81,123.25,65.06,72.9,22.58,431.2058,148.45,75.26,23.91,84.68,48.18,42.08,102.07,107.84,33.75,80.6,31.98,28.72,77.75,37.09,60.2,52.05,37.9,78.83,90.58
2013-05-07,65.5225,83.55,94.79,12.9,89.79,20.38,123.04,66.07,73.7,22.68,429.0436,149.32,75.07,24.15,85.53,49.14,42.7,102.29,108.01,33.31,81.72,31.955,29.03,77.94,37.52,60.5,52.92,38.4,78.83,91.15
2013-05-08,66.2628,84.63,94.04,13.02,90.31,20.72,123.36,65.99,72.91,23.01,437.2518,150.26,75.42,24.25,85.46,49.76,42.46,100.95,108.2,32.99,80.94,31.95,28.73,78.44,37.83,62.51,53.11,38.45,78.25,91.7
2013-05-09,65.2528,83.56,94.61,12.91,89.95,20.83,123.64,66.67,72.05,22.78,436.1757,148.54,75.87,24.36,85.15,49.04,42.12,99.69,109.92,32.66,79.84,31.87,28.6,78.21,37.33,62.01,52.71,37.89,78.4,91.03
2013-05-10,64.7099,83.1,94.24,13.02,88.62,21.1,123.23,67.2,72.18,22.9,440.5551,149.1,76.01,24.5,85.76,48.96,42.15,100.2,110.48,32.69,80.0,32.38,28.72,78.76,37.36,62.91,52.89,38.03,78.89,90.14
2013-05-13,64.9628,82.96,94.76,12.98,88.07,21.27,122.85,67.32,71.77,22.85,439.2038,149.63,76.67,24.08,85.85,49.67,42.19,100.38,110.5,33.03,79.62,32.325,29.37,78.59,37.0,62.39,52.55,38.2,78.5,90.1
2013-05-14,63.4085,83.73,96.11,13.34,87.55,21.27,125.0,67.47,72.08,23.01,443.9936,154.52,77.32,23.84,86.97,50.23,42.52,101.2,110.59,33.53,80.19,32.955,29.4,79.47,37.23,61.73,53.17,38.76,78.78,91.11
2013-05-15,61.2642,84.33,97.02,13.44,87.0,21.21,123.01,67.67,72.24,23.24,458.4029,155.61,77.88,24.2,87.64,51.09,42.92,101.95,111.5,33.845,81.16,32.915,29.56,80.68,37.53,61.61,53.6,39.3,79.86,91.24
2013-05-16,62.0825,83.21,96.58,13.36,86.78,23.887,122.76,66.47,71.16,23.27,452.3869,154.47,76.75,23.94,87.45,50.97,43.09,101.12,111.07,34.08,80.43,32.22,29.25,80.2,37.38,62.14,53.2,39.26,78.5,90.7
2013-05-17,61.8942,84.45,98.92,13.43,87.67,24.24,123.42,66.58,71.62,23.46,455.0446,158.18,76.86,24.04,88.09,52.3,42.97,101.54,111.39,34.87,81.1,32.66,28.96,80.02,37.44,62.84,53.35,39.88,77.87,91.76
2013-05-20,63.2757,83.92,98.72,13.51,88.33,23.945,124.78,66.12,71.33,23.57,454.7193,158.9,76.76,24.08,88.01,52.29,42.38,101.54,111.72,35.08,80.24,32.665,28.7,79.09,37.22,62.56,52.74,40.2,77.4,92.52
2013-05-21,62.8085,84.64,98.75,13.44,88.1,24.01,125.94,65.83,71.39,23.66,453.9385,160.73,78.71,24.15,88.59,53.02,42.34,102.14,112.01,34.85,80.49,32.615,28.78,78.8,36.94,62.87,52.07,40.68,77.39,92.8
2013-05-22,63.0505,82.17,97.93,13.31,87.7,23.34,124.93,65.57,70.19,23.86,445.1547,159.34,79.69,24.07,88.46,53.63,42.25,101.74,110.79,34.61,79.16,32.225,29.3,78.82,36.62,62.28,51.47,40.1,77.03,92.19
2013-05-23,63.1628,81.58,99.75,13.21,86.95,23.51,125.4,65.23,69.76,23.66,441.8364,157.41,78.91,24.05,87.21,53.35,41.93,101.03,110.41,34.15,78.22,31.665,29.11,78.7,36.74,62.36,51.89,40.01,76.33,91.79
2013-05-24,63.5928,81.72,100.0,13.24,86.21,23.53,125.45,65.49,68.88,23.53,437.0967,158.72,78.99,23.923,86.82,53.66,42.24,100.29,110.27,34.269,77.3,31.395,29.04,81.88,36.75,62.06,51.39,40.24,77.31,91.53
2013-05-28,63.0627,81.5,100.11,13.35,86.19,23.89,126.43,66.69,67.75,23.6,441.0756,160.7,79.82,24.08,87.61,54.6,42.55,101.24,111.59,35.02,77.02,31.64,29.01,80.86,36.18,63.34,50.82,40.52,77.32,92.38
2013-05-29,63.5642,79.44,99.09,13.48,86.49,24.12,125.49,66.26,67.15,23.64,434.5892,162.87,79.49,24.27,85.65,54.67,41.4,99.05,111.13,34.88,75.72,31.465,28.28,78.9,35.91,63.35,49.57,40.75,76.23,92.08
2013-05-30,64.5114,78.77,100.54,13.83,86.41,24.37,125.11,64.65,67.31,23.6,435.8154,164.35,79.44,24.21,85.99,55.62,40.77,97.07,111.42,35.03,75.71,31.205,28.25,79.09,35.5,64.66,49.08,41.25,75.63,92.09
2013-05-31,64.2478,77.84,99.02,13.66,85.8,24.115,122.75,63.08,66.93,23.32,436.0446,162.08,78.66,24.28,84.18,54.59,39.99,96.57,110.27,34.9,75.62,30.83,27.23,76.76,34.99,62.63,48.48,40.55,74.84,90.47
2013-06-03,64.3885,77.42,100.74,13.55,86.13,24.38,124.09,63.8,67.2,23.64,434.2488,163.56,79.08,25.24,84.71,54.49,40.81,97.96,110.61,35.59,76.28,31.515,27.75,77.66,35.07,62.8,48.66,40.73,75.69,91.46
2013-06-04,64.1871,76.63,99.61,13.36,85.92,24.36,122.96,64.35,67.15,23.66,429.9796,161.68,76.63,25.36,84.1,54.04,41.42,98.37,110.02,34.99,76.49,31.39,27.66,77.37,35.67,62.36,48.84,40.44,75.94,90.79
2013-06-05,63.5871,75.87,98.49,13.09,84.42,24.32,121.57,63.12,66.81,23.32,430.2799,158.3,75.1,24.7,83.68,53.03,40.65,96.42,108.59,34.78,75.99,30.875,27.48,76.66,35.26,61.75,48.3,39.82,75.25,89.65
2013-06-06,62.6371,78.48,99.76,13.2,84.0,24.55,120.59,63.14,67.5,23.38,432.7523,159.68,77.26,24.65,84.46,53.5,40.79,96.68,108.67,34.96,77.39,31.08,28.11,76.82,35.81,61.92,49.97,40.72,75.63,90.23
2013-06-07,63.1158,78.77,102.49,13.38,84.65,24.49,121.7,64.85,67.69,23.86,440.3049,166.01,78.74,24.59,84.91,54.27,41.41,98.28,111.11,35.67,78.8,31.375,28.26,77.75,35.45,62.57,50.24,41.25,76.33,91.45
2013-06-10,62.6985,76.45,102.24,13.3,83.8,24.36,122.69,63.83,67.89,23.78,445.5551,167.49,77.73,25.01,85.14,54.36,41.18,99.53,110.81,35.47,78.68,31.52,28.37,78.07,35.99,63.68,50.53,41.27,75.75,91.12
2013-06-11,62.5142,75.82,101.75,13.12,83.52,24.07,121.45,63.8,67.21,23.58,440.3449,163.31,77.61,24.71,84.69,53.49,40.79,98.23,110.22,34.84,78.87,31.075,28.42,78.12,35.76,63.93,50.18,40.66,75.25,90.46
2013-06-12,61.7414,74.6,100.88,13.06,83.21,23.99,119.97,62.99,66.59,23.5,436.426,161.86,76.4,24.46,83.74,53.18,40.39,98.24,109.03,35.0,77.75,30.705,28.43,77.6,35.62,63.83,49.9,40.27,74.84,89.74
2013-06-13,62.2807,76.48,102.16,13.21,85.14,24.35,121.66,64.3,67.49,23.68,438.9385,165.82,76.53,24.99,84.91,54.17,40.41,98.88,111.2,34.715,79.13,30.88,29.08,78.43,36.3,64.15,50.64,40.94,75.0,91.33
2013-06-14,61.4357,77.33,101.83,13.07,83.87,24.09,120.28,63.8,67.64,23.52,437.9575,162.92,76.59,24.92,84.91,53.13,40.34,98.42,111.03,34.4,79.73,30.945,29.09,78.03,35.91,63.8,51.07,40.16,74.87,90.58
2013-06-17,61.7142,76.92,103.03,13.21,83.92,24.7,121.22,64.49,67.65,23.77,443.5681,164.11,76.14,25.1,85.63,53.85,40.68,98.74,111.91,35.0,80.66,30.97,29.16,78.96,35.76,64.37,50.71,40.61,74.95,91.51
2013-06-18,61.6814,77.29,104.08,13.27,84.55,24.82,121.52,65.29,68.23,24.33,450.7603,164.15,77.19,25.465,86.36,54.11,40.93,99.75,112.97,34.98,81.59,31.075,29.4,79.04,36.17,65.68,51.55,40.84,75.73,91.93
2013-06-19,60.4285,74.44,102.25,13.19,84.25,24.68,120.5,64.33,66.72,23.98,450.7903,161.56,75.93,25.0,84.86,53.55,40.41,98.81,111.57,34.59,80.19,30.875,29.1,77.61,35.25,65.26,50.05,40.66,74.46,91.0
2013-06-20,59.5482,70.44,99.64,12.89,83.2,24.435,117.95,61.98,65.1,23.25,442.8124,155.41,73.87,24.185,82.62,52.48,39.13,96.79,108.78,33.49,77.33,30.39,28.635,75.25,34.35,63.8,48.96,40.09,73.03,89.05
2013-06-21,59.0714,71.99,99.98,12.69,83.12,24.481,118.93,62.73,65.58,23.36,440.9055,154.25,73.82,24.195,83.2,51.96,39.76,97.23,109.59,33.265,78.33,30.285,28.46,77.43,34.47,63.9,49.52,40.96,73.51,89.48
2013-06-24,57.5057,71.09,97.85,12.3,81.52,24.055,116.82,62.44,65.46,22.93,435.3299,150.78,73.51,23.58,84.61,50.92,39.53,97.29,107.5,33.715,78.38,29.975,27.71,76.58,34.46,64.65,49.12,39.8,74.2,88.48
2013-06-25,57.5185,72.9,98.67,12.67,82.33,24.005,117.45,62.57,66.12,23.11,433.5331,153.06,74.14,23.88,85.35,52.08,39.72,97.52,108.24,33.67,79.0,30.195,27.99,76.69,35.03,63.73,50.44,40.3,74.37,89.11
2013-06-26,56.8671,73.83,100.75,12.76,82.1,24.385,118.15,63.21,67.61,23.25,437.2618,151.66,75.67,24.005,86.99,52.5,40.33,98.84,109.68,34.35,79.84,30.925,28.1,77.4,35.33,64.78,50.66,41.02,75.01,89.8
2013-06-27,56.2542,74.23,103.15,13.01,82.96,24.63,118.71,63.72,67.52,23.32,438.9735,153.51,76.27,24.05,86.71,53.15,40.26,99.65,110.24,34.62,80.42,31.16,28.18,77.67,35.63,66.09,51.0,41.56,75.26,90.04
2013-06-28,56.6471,73.17,102.44,12.86,82.49,24.335,118.34,63.15,67.5,23.19,440.6252,151.25,77.47,24.23,85.86,52.79,40.11,99.0,109.35,34.545,81.48,31.84,28.01,76.99,35.4,65.48,50.34,41.27,74.49,90.35
