ticker,ann_return,ann_volatility,sharpe,sector
AAPL,0.19812156636362738,0.2316568877514339,0.7576365719217311,Information Technology
AMT,0.13734076543611037,0.18820829037688508,0.6095955132517762,Real Estate
BA,0.32651168990967433,0.21431981715879245,1.4179829839017433,Industrials
BAC,0.2270995899430906,0.2499480829067522,0.8181289150107447,Financials
CAT,0.1189501281100828,0.22638871119591755,0.4255525442747709,Industrials
CSCO,0.151364759061117,0.21046345768460192,0.6117685436323764,Information Technology
CVX,0.020488181890938924,0.20545720610373258,-0.010326501634426284,Energy
DIS,0.1473510739893717,0.18418761428535735,0.677250956356595,Communication Services
DUK,0.027101898791151647,0.15470799798108884,0.02903574982676054,Utilities
GE,-0.059619422378072384,0.1913521474360254,-0.42972738767479884,Industrials
GOOGL,0.2217765902591984,0.22033235047669264,0.9039378636987446,Communication Services
GS,0.12987986755077416,0.21909959712453952,0.4895948367455303,Financials
HD,0.22604143422883097,0.178036044831825,1.1426427629046754,Consumer Discretionary
INTC,0.1780039742416231,0.2214009067040835,0.7018676684271377,Information Technology
JNJ,0.1213215116971227,0.14293204440769328,0.6906196300529218,Health Care
JPM,0.18948258824615277,0.2038999982109295,0.8184048731964837,Financials
KO,0.03784733368032694,0.1410427988460361,0.10803456638283664,Consumer Staples
MCD,0.12270019744423216,0.14835310573355698,0.6746765487904328,Consumer Discretionary
MMM,0.1764297990146196,0.15507359714966562,0.9919158759217414,Industrials
MSFT,0.2617962788783532,0.2255795014775892,1.0603199370778913,Information Technology
NEE,0.15771783091588612,0.1643074845827389,0.8222875250839664,Utilities
NKE,0.19954664970799474,0.21933013173460464,0.8067145733378727,Consumer Discretionary
PFE,0.06743115847743866,0.17152490909785972,0.26131086527084574,Health Care
PG,0.025584535739050288,0.14195298935855136,0.02095552680446115,Consumer Staples
T,0.021916269485925628,0.15927023766533996,-0.004354652757569665,Communication Services
UNH,0.29351762261147213,0.20120790074980974,1.3464073007886324,Health Care
VZ,0.041594361259965434,0.16487712991874595,0.11514347201305318,Communication Services
WFC,0.11862429407109543,0.19144954510541753,0.5015131164331228,Financials
WMT,0.08784565483458152,0.17321508244261338,0.3766174275881579,Consumer Staples
XOM,-0.012966139379284586,0.17503558088564022,-0.2032499636065537,Energy
